Entity,Code,Date,"Daily new confirmed deaths due to COVID-19 (rolling 7-day average, right-aligned)"
Afghanistan,AFG,2020-03-24,0.33333
Afghanistan,AFG,2020-03-25,0.5
Afghanistan,AFG,2020-03-26,0.6
Afghanistan,AFG,2020-03-27,0.5
Afghanistan,AFG,2020-03-28,0.57143
Afghanistan,AFG,2020-03-29,0.42857
Afghanistan,AFG,2020-03-30,0.42857
Afghanistan,AFG,2020-03-31,0.42857
Afghanistan,AFG,2020-04-01,0.28571
Afghanistan,AFG,2020-04-02,0.14286
Afghanistan,AFG,2020-04-03,0.71429
Afghanistan,AFG,2020-04-04,0.85714
Afghanistan,AFG,2020-04-05,1.14286
Afghanistan,AFG,2020-04-06,1.57143
Afghanistan,AFG,2020-04-07,1.71429
Afghanistan,AFG,2020-04-08,1.71429
Afghanistan,AFG,2020-04-09,1.85714
Afghanistan,AFG,2020-04-10,1.42857
Afghanistan,AFG,2020-04-11,1.14286
Afghanistan,AFG,2020-04-12,1
Afghanistan,AFG,2020-04-13,1
Afghanistan,AFG,2020-04-14,1
Afghanistan,AFG,2020-04-15,1.85714
Afghanistan,AFG,2020-04-16,1.85714
Afghanistan,AFG,2020-04-17,1.71429
Afghanistan,AFG,2020-04-18,1.71429
Afghanistan,AFG,2020-04-19,2
Afghanistan,AFG,2020-04-20,2
Afghanistan,AFG,2020-04-21,1.85714
Afghanistan,AFG,2020-04-22,1.57143
Afghanistan,AFG,2020-04-23,1.42857
Afghanistan,AFG,2020-04-24,1.85714
Afghanistan,AFG,2020-04-25,2.42857
Afghanistan,AFG,2020-04-26,2.71429
Afghanistan,AFG,2020-04-27,3.14286
Afghanistan,AFG,2020-04-28,3.28571
Afghanistan,AFG,2020-04-29,3
Afghanistan,AFG,2020-04-30,3.42857
Afghanistan,AFG,2020-05-01,3.57143
Afghanistan,AFG,2020-05-02,3.57143
Afghanistan,AFG,2020-05-03,4.71429
Afghanistan,AFG,2020-05-04,4.57143
Afghanistan,AFG,2020-05-05,5.14286
Afghanistan,AFG,2020-05-06,6.14286
Afghanistan,AFG,2020-05-07,6
Afghanistan,AFG,2020-05-08,5.85714
Afghanistan,AFG,2020-05-09,6.14286
Afghanistan,AFG,2020-05-10,5
Afghanistan,AFG,2020-05-11,4.57143
Afghanistan,AFG,2020-05-12,4.57143
Afghanistan,AFG,2020-05-13,4
Afghanistan,AFG,2020-05-14,4.28571
Afghanistan,AFG,2020-05-15,6.28571
Afghanistan,AFG,2020-05-16,7.57143
Afghanistan,AFG,2020-05-17,7.14286
Afghanistan,AFG,2020-05-18,7.28571
Afghanistan,AFG,2020-05-19,7.28571
Afghanistan,AFG,2020-05-20,8
Afghanistan,AFG,2020-05-21,8.28571
Afghanistan,AFG,2020-05-22,7.57143
Afghanistan,AFG,2020-05-23,7
Afghanistan,AFG,2020-05-24,7
Afghanistan,AFG,2020-05-25,6.71429
Afghanistan,AFG,2020-05-26,6.14286
Afghanistan,AFG,2020-05-27,5.71429
Afghanistan,AFG,2020-05-28,6
Afghanistan,AFG,2020-05-29,5.85714
Afghanistan,AFG,2020-05-30,4.71429
Afghanistan,AFG,2020-05-31,5.57143
Afghanistan,AFG,2020-06-01,6.57143
Afghanistan,AFG,2020-06-02,7.57143
Afghanistan,AFG,2020-06-03,10
Afghanistan,AFG,2020-06-04,9.71429
Afghanistan,AFG,2020-06-05,9.42857
Afghanistan,AFG,2020-06-06,11.57143
Afghanistan,AFG,2020-06-07,14.71429
Afghanistan,AFG,2020-06-08,15.28571
Afghanistan,AFG,2020-06-09,16.28571
Afghanistan,AFG,2020-06-10,15.85714
Afghanistan,AFG,2020-06-11,18
Afghanistan,AFG,2020-06-12,19.57143
Afghanistan,AFG,2020-06-13,17.71429
Afghanistan,AFG,2020-06-14,16.28571
Afghanistan,AFG,2020-06-15,15.57143
Afghanistan,AFG,2020-06-16,15.28571
Afghanistan,AFG,2020-06-17,14.14286
Afghanistan,AFG,2020-06-18,17.14286
Afghanistan,AFG,2020-06-19,14.57143
Afghanistan,AFG,2020-06-20,16.85714
Afghanistan,AFG,2020-06-21,15.71429
Afghanistan,AFG,2020-06-22,16.42857
Afghanistan,AFG,2020-06-23,17.42857
Afghanistan,AFG,2020-06-24,18.57143
Afghanistan,AFG,2020-06-25,17.71429
Afghanistan,AFG,2020-06-26,18.57143
Afghanistan,AFG,2020-06-27,20.42857
Afghanistan,AFG,2020-06-28,20.42857
Afghanistan,AFG,2020-06-29,20.42857
Afghanistan,AFG,2020-06-30,19.28571
Afghanistan,AFG,2020-07-01,20.28571
Afghanistan,AFG,2020-07-02,19.28571
Afghanistan,AFG,2020-07-03,19.85714
Afghanistan,AFG,2020-07-04,16
Afghanistan,AFG,2020-07-05,19.71429
Afghanistan,AFG,2020-07-06,22.85714
Afghanistan,AFG,2020-07-07,24.28571
Afghanistan,AFG,2020-07-08,22.71429
Afghanistan,AFG,2020-07-09,21.42857
Afghanistan,AFG,2020-07-10,21.71429
Afghanistan,AFG,2020-07-11,24
Afghanistan,AFG,2020-07-12,20.85714
Afghanistan,AFG,2020-07-13,20
Afghanistan,AFG,2020-07-14,20.28571
Afghanistan,AFG,2020-07-15,22.42857
Afghanistan,AFG,2020-07-16,22.57143
Afghanistan,AFG,2020-07-17,25.14286
Afghanistan,AFG,2020-07-18,24.28571
Afghanistan,AFG,2020-07-19,24.42857
Afghanistan,AFG,2020-07-20,20.71429
Afghanistan,AFG,2020-07-21,17.71429
Afghanistan,AFG,2020-07-22,13.71429
Afghanistan,AFG,2020-07-23,13.71429
Afghanistan,AFG,2020-07-24,11.14286
Afghanistan,AFG,2020-07-25,11.85714
Afghanistan,AFG,2020-07-26,11.14286
Afghanistan,AFG,2020-07-27,12.28571
Afghanistan,AFG,2020-07-28,12
Afghanistan,AFG,2020-07-29,11.57143
Afghanistan,AFG,2020-07-30,10
Afghanistan,AFG,2020-07-31,8.14286
Afghanistan,AFG,2020-08-01,5.14286
Afghanistan,AFG,2020-08-02,3.57143
Afghanistan,AFG,2020-08-03,2.71429
Afghanistan,AFG,2020-08-04,2.57143
Afghanistan,AFG,2020-08-05,3.28571
Afghanistan,AFG,2020-08-06,2.57143
Afghanistan,AFG,2020-08-07,3.71429
Afghanistan,AFG,2020-08-08,4.28571
Afghanistan,AFG,2020-08-09,5
Afghanistan,AFG,2020-08-10,5.57143
Afghanistan,AFG,2020-08-11,8
Afghanistan,AFG,2020-08-12,8.57143
Afghanistan,AFG,2020-08-13,9.14286
Afghanistan,AFG,2020-08-14,8.57143
Afghanistan,AFG,2020-08-15,8
Afghanistan,AFG,2020-08-16,7.85714
Afghanistan,AFG,2020-08-17,7
Afghanistan,AFG,2020-08-18,5.14286
Afghanistan,AFG,2020-08-19,4
Afghanistan,AFG,2020-08-20,3
Afghanistan,AFG,2020-08-21,2.28571
Afghanistan,AFG,2020-08-22,2.14286
Afghanistan,AFG,2020-08-23,1.71429
Afghanistan,AFG,2020-08-24,1.71429
Afghanistan,AFG,2020-08-25,2.28571
Afghanistan,AFG,2020-08-26,2.57143
Afghanistan,AFG,2020-08-27,2.28571
Afghanistan,AFG,2020-08-28,2.42857
Afghanistan,AFG,2020-08-29,2.42857
Afghanistan,AFG,2020-08-30,2.14286
Afghanistan,AFG,2020-08-31,1.85714
Afghanistan,AFG,2020-09-01,1.28571
Afghanistan,AFG,2020-09-02,1.14286
Afghanistan,AFG,2020-09-03,1.14286
Afghanistan,AFG,2020-09-04,1
Afghanistan,AFG,2020-09-05,1
Afghanistan,AFG,2020-09-06,1.42857
Afghanistan,AFG,2020-09-07,1.85714
Afghanistan,AFG,2020-09-08,1.71429
Afghanistan,AFG,2020-09-09,1.57143
Afghanistan,AFG,2020-09-10,1.57143
Afghanistan,AFG,2020-09-11,1.57143
Afghanistan,AFG,2020-09-12,1.57143
Afghanistan,AFG,2020-09-13,1.14286
Afghanistan,AFG,2020-09-14,1.57143
Afghanistan,AFG,2020-09-15,1.28571
Afghanistan,AFG,2020-09-16,2.42857
Afghanistan,AFG,2020-09-17,2.42857
Afghanistan,AFG,2020-09-18,2.57143
Afghanistan,AFG,2020-09-19,2.57143
Afghanistan,AFG,2020-09-20,3.14286
Afghanistan,AFG,2020-09-21,2.71429
Afghanistan,AFG,2020-09-22,2.71429
Afghanistan,AFG,2020-09-23,1.42857
Afghanistan,AFG,2020-09-24,2.14286
Afghanistan,AFG,2020-09-25,2
Afghanistan,AFG,2020-09-26,2.28571
